	tf-idf tweet idx	tf-idf score	tf-idf texts	w2v tweet idx	w2v score	w2v texts
0	1335559283564453889	1.3663272100000001	🇺🇸trump https://t.co/P3ctsnhebv	1335571418424217600	114.76229554775624	FIGHT FOR TRUMP ❤️❤️🇺🇸 https://t.co/Ru96NOhQla
1	1335565393147080710	1.3663272100000001	*with Trump	1335571117050916864	114.76229554775624	Fight for Trump! https://t.co/wh0XUoAlub
2	1335568968795516928	1.136920871441	RT @BeNosey: UK HERE, I TOTALLY GET TRUMP #TRUMP https://t.co/COZIUWFFn6	1335571468864770049	112.50646638677895	@realDonaldTrump Fight for Trump!!!!
3	1335568930216300544	1.1156061669650001	RT @JoyAnnReid: Nixon was the Trump before Trump.	1335571156036767744	111.05428576066637	TRUMP 2020 https://t.co/pGRLoq2nix
4	1335567431499051010	1.032806738039	@ANINewsUP @ANI If they are farmer than i am #Trump	1335565393147080710	107.9824773449435	*with Trump
5	1335571192569270274	1.032806738039	@WarrenWhitlock Except #Trump maybe  ? :-)	1335559283564453889	107.9824773449435	🇺🇸trump https://t.co/P3ctsnhebv
6	1335571398287368192	0.9661299701910001	#Trump is such a #Creep	1335567863319564293	107.19911396111982	RT @firemom81: “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR…
7	1335567817530171392	0.9661299701910001	RT @Pollyanna1698: Trump Won!!! https://t.co/EFuNGXJhRb	1335567818058829824	107.19911396111982	RT @firemom81: “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR…
8	1335572554698911744	0.9661299701910001	Trump card https://t.co/JpF6FuaiS8	1335572589746540554	107.19911396111982	RT @firemom81: “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR…
9	1335559313788727302	0.9661299701910001	Trump Nation! https://t.co/Akjs7PFhRW	1335567371772235776	107.19911396111982	RT @firemom81: “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR…
10	1335559248630206466	0.9661299701910001	tRump legacy. https://t.co/syhSuk3uZF	1335572528715210753	107.19911396111982	RT @firemom81: “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR TRUMP!” “FIGHT FOR…
11	1335572525724491776	0.9661299701910001	@DesignationSix tRump	1335572518913126400	100.76034539910447	"RT @VoteTrumpPics: FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TR…"
12	1335571179000754177	0.9661299701910001	@ScottFishman TRUMP	1335567893522690053	100.76034539910447	"RT @VoteTrumpPics: FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TR…"
13	1335571117050916864	0.9661299701910001	Fight for Trump! https://t.co/wh0XUoAlub	1335574746126278657	100.76034539910447	"RT @VoteTrumpPics: FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TR…"
14	1335559276614520833	0.9661299701910001	Trump lies https://t.co/hxAJGJP3b0	1335567848110960640	98.178128925672	"RT @IAMCOFEFE1: FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

#FightForTrump"
15	1335571156036767744	0.9661299701910001	TRUMP 2020 https://t.co/pGRLoq2nix	1335559305475416066	95.7370727211794	Fight for Trump. Fight for your freedom!! https://t.co/NK5JGS2Ajj
16	1335572560331812864	0.9661299701910001	#Trump is the leading cause of death in America https://t.co/ZWFB2ZnG7f	1335572515809275904	90.1472002106461	Thats Our GREAT PRESIDENT TRUMP https://t.co/Rygkie00i2
17	1335571418424217600	0.9661299701910001	FIGHT FOR TRUMP ❤️❤️🇺🇸 https://t.co/Ru96NOhQla	1335571189121638403	89.15586119116256	RT @GrandpaSnarky: The only fraud in our 2020 election was Trump.
18	1335567385642733568	0.9661299701910001	Clearly Trump is.. https://t.co/nsNDQpJQQc	1335568909609492483	89.08457787483515	"RT @TheRISEofROD: FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!
https://t.co/WUp1YvNAYK"
19	1335572554615033857	0.9661299701910001	@TheDemCoalition @BuzzFeedNews How about #Trump revealing his taxes?	1335568921332756482	89.08457787483515	"RT @TheRISEofROD: FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!
https://t.co/WUp1YvNAYK"
